Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Imports ($NZD vfd),Imports ($NZD cif),Imports Qty,Status,
201901,8703100000,"Vehicles; specially designed for travelling on snow, golf cars and similar vehicles",NMB,"China, People's Republic of","34,769","36,352",8,Final,
201901,8703100000,"Vehicles; specially designed for travelling on snow, golf cars and similar vehicles",NMB,United States of America,"317,409","331,755",39,Final,
201901,8703211910,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, four-wheeled farm-bike vehicles",NMB,Australia,"7,876","8,433",7,Final,
201901,8703211910,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, four-wheeled farm-bike vehicles",NMB,"China, People's Republic of","18,231","20,261",18,Final,
201901,8703211910,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, four-wheeled farm-bike vehicles",NMB,Japan,"76,914","81,141",6,Final,
201901,8703211910,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, four-wheeled farm-bike vehicles",NMB,Mexico,"585,103","612,959",79,Final,
201901,8703211910,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, four-wheeled farm-bike vehicles",NMB,United States of America,"1,465,043","1,512,124",155,Final,
201901,8703211910,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, four-wheeled farm-bike vehicles",NMB,South Africa,"2,250","2,909",1,Final,
201901,8703211915,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, new motor cars, assembled",NMB,Australia,"4,912","5,187",1,Final,
201901,8703211915,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, new motor cars, assembled",NMB,"China, People's Republic of","36,043","38,907",19,Final,
201901,8703211915,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, new motor cars, assembled",NMB,India,"1,453,684","2,040,310",82,Final,
201901,8703211915,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, new motor cars, assembled",NMB,Japan,"1,247,015","1,290,354",79,Final,
201901,8703211915,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, new motor cars, assembled",NMB,South Africa,"1,036,724","1,067,637",58,Final,
201901,8703211917,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, used motor cars",NMB,Germany,"55,331","56,913",3,Final,
201901,8703211917,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, used motor cars",NMB,Japan,"59,495","79,870",18,Final,
201901,8703211919,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, n.e.c. in heading no 8702 or 8703",NMB,Canada,"57,574","62,134",3,Final,
201901,8703211919,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, n.e.c. in heading no 8702 or 8703",NMB,"China, People's Republic of","133,780","138,233",76,Final,
201901,8703211919,"Vehicles; with only spark-ignition internal combustion reciprocating piston engine, cylinder capacity not over 1000cc, n.e.c. in heading no 8702 or 8703",NMB,Japan,"885,891","908,057",70,Final,
