age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32,technician,single,tertiary,no,127,yes,no,cellular,31,jul,88,3,-1,0,unknown,no
36,technician,single,secondary,no,1855,yes,no,cellular,4,feb,75,1,273,1,failure,no
83,retired,married,tertiary,no,6236,no,no,cellular,12,oct,766,1,62,3,failure,no
31,blue-collar,married,secondary,no,1039,yes,no,unknown,28,may,44,7,-1,0,unknown,no
31,technician,single,secondary,no,538,yes,no,cellular,17,apr,660,3,-1,0,unknown,no
59,management,divorced,tertiary,no,6144,yes,no,cellular,25,aug,56,5,-1,0,unknown,no
53,admin.,single,secondary,no,2892,no,no,cellular,9,apr,527,3,-1,0,unknown,yes
49,technician,divorced,tertiary,no,1807,yes,no,cellular,2,jun,225,1,82,1,success,no
38,management,single,secondary,no,53,no,no,unknown,9,jun,280,1,-1,0,unknown,no
56,technician,married,secondary,no,205,no,yes,cellular,23,jul,442,2,-1,0,unknown,no
26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,1,-1,0,unknown,yes
28,services,single,secondary,no,458,no,no,cellular,18,jul,328,3,-1,0,unknown,no
44,unemployed,divorced,secondary,no,2108,yes,no,cellular,13,may,152,2,369,1,other,no
25,technician,single,secondary,no,-55,yes,yes,cellular,7,jul,242,1,-1,0,unknown,no
55,retired,married,secondary,no,120,no,no,cellular,27,aug,43,3,-1,0,unknown,no
28,management,single,tertiary,no,187,no,no,cellular,10,sep,255,1,93,2,success,yes
31,entrepreneur,single,tertiary,yes,37,yes,no,unknown,12,may,281,1,-1,0,unknown,no
48,management,divorced,tertiary,no,-478,yes,no,cellular,17,nov,87,5,167,6,failure,no
35,entrepreneur,married,primary,yes,25,no,yes,cellular,7,jul,236,1,-1,0,unknown,no
51,blue-collar,married,primary,no,0,no,no,cellular,7,aug,228,6,-1,0,unknown,no
53,technician,married,unknown,no,8605,no,no,cellular,29,jul,635,3,-1,0,unknown,no
34,blue-collar,married,primary,no,-144,yes,no,unknown,6,may,79,2,-1,0,unknown,no
39,services,married,secondary,no,702,yes,no,cellular,8,apr,303,1,300,1,failure,no
46,management,single,secondary,no,1605,no,no,cellular,31,jul,126,6,-1,0,unknown,no
59,entrepreneur,married,primary,no,0,no,no,telephone,19,nov,207,2,153,1,failure,no
50,technician,married,secondary,no,0,yes,yes,cellular,18,nov,126,2,-1,0,unknown,no
31,services,married,secondary,no,520,yes,no,unknown,12,may,123,7,-1,0,unknown,no
44,services,divorced,secondary,no,-389,yes,yes,unknown,5,jun,52,1,-1,0,unknown,no
42,technician,married,tertiary,no,246,yes,no,telephone,12,may,360,2,-1,0,unknown,no
41,blue-collar,married,primary,no,1500,yes,no,cellular,31,jul,101,6,-1,0,unknown,no
60,technician,divorced,tertiary,no,1900,yes,no,unknown,29,may,77,3,-1,0,unknown,no
32,blue-collar,married,secondary,no,1780,yes,no,unknown,23,may,100,4,-1,0,unknown,no
35,technician,married,secondary,no,4922,yes,no,cellular,17,nov,393,4,201,17,other,yes
30,technician,single,secondary,no,963,yes,no,cellular,18,may,66,1,-1,0,unknown,no
29,admin.,married,secondary,no,503,no,yes,cellular,5,feb,433,1,199,2,failure,no
55,technician,divorced,tertiary,no,2848,yes,yes,cellular,11,jul,121,2,-1,0,unknown,no
37,services,divorced,secondary,no,490,yes,no,cellular,2,feb,73,1,-1,0,unknown,no
30,services,single,secondary,no,631,yes,no,cellular,18,may,98,1,-1,0,unknown,no
33,technician,single,secondary,no,189,yes,no,unknown,14,may,260,1,-1,0,unknown,no
44,management,married,tertiary,no,5581,no,no,cellular,8,aug,202,2,-1,0,unknown,no
35,management,married,tertiary,no,1582,no,no,telephone,21,jul,37,1,-1,0,unknown,no
30,services,married,secondary,no,1222,yes,no,cellular,14,may,444,1,-1,0,unknown,no
35,blue-collar,married,primary,no,-167,yes,no,cellular,15,may,195,3,359,1,failure,no
39,blue-collar,married,primary,no,481,yes,no,unknown,29,may,376,1,-1,0,unknown,no
33,services,married,secondary,no,255,yes,yes,cellular,21,nov,588,2,184,2,failure,no
42,blue-collar,married,secondary,no,2441,yes,no,unknown,30,may,143,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,667,yes,no,cellular,14,may,10,5,324,27,other,no
52,management,single,tertiary,no,1205,no,no,telephone,19,aug,18,20,-1,0,unknown,no
32,services,married,secondary,no,11,no,no,cellular,20,aug,322,2,-1,0,unknown,no
53,technician,married,secondary,no,879,no,no,cellular,5,aug,176,1,-1,0,unknown,no
27,management,single,tertiary,no,450,yes,no,unknown,3,jun,49,1,-1,0,unknown,no
47,housemaid,married,primary,no,275,yes,no,cellular,14,may,261,3,-1,0,unknown,no
27,blue-collar,single,secondary,no,148,no,no,cellular,22,jul,203,1,-1,0,unknown,no
52,self-employed,single,primary,no,217,no,yes,cellular,15,jul,193,6,-1,0,unknown,no
35,self-employed,married,tertiary,no,247,yes,no,unknown,12,may,167,2,-1,0,unknown,no
37,admin.,married,tertiary,no,103,yes,yes,cellular,27,apr,81,3,-1,0,unknown,no
32,technician,single,secondary,no,309,yes,yes,cellular,16,apr,346,1,234,3,failure,no
45,services,married,primary,no,2406,yes,yes,cellular,20,apr,108,2,-1,0,unknown,no
38,services,divorced,secondary,no,904,yes,no,cellular,16,apr,361,1,339,1,failure,no
37,entrepreneur,married,tertiary,no,1514,no,yes,cellular,24,jul,568,3,-1,0,unknown,no
25,blue-collar,single,secondary,no,192,no,no,telephone,4,jul,112,2,-1,0,unknown,no
37,technician,single,tertiary,no,197,no,no,cellular,16,nov,175,1,200,1,success,yes
43,technician,married,secondary,no,17655,yes,no,cellular,18,nov,31,1,-1,0,unknown,no
30,management,single,tertiary,no,21,no,no,cellular,26,aug,61,7,-1,0,unknown,no
30,blue-collar,single,secondary,no,163,yes,yes,cellular,23,jul,123,2,-1,0,unknown,no
36,technician,single,secondary,no,0,no,no,cellular,21,aug,42,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,1017,yes,no,unknown,29,may,514,3,-1,0,unknown,no
37,technician,divorced,tertiary,no,1762,yes,no,cellular,16,apr,309,1,317,1,failure,no
34,admin.,single,secondary,no,303,no,no,cellular,4,jun,282,3,126,3,failure,yes
50,technician,single,secondary,no,-97,yes,no,cellular,8,apr,425,1,306,2,failure,no
60,technician,single,tertiary,no,2934,no,no,cellular,8,aug,233,2,-1,0,unknown,no
29,unemployed,single,tertiary,no,1311,no,no,cellular,28,aug,622,1,-1,0,unknown,yes
56,blue-collar,married,primary,yes,-160,no,no,cellular,9,jul,96,2,-1,0,unknown,no
38,admin.,married,tertiary,no,4399,yes,no,unknown,20,may,638,2,-1,0,unknown,no
75,retired,divorced,primary,no,852,no,no,cellular,16,sep,228,1,185,1,failure,no
36,blue-collar,married,secondary,no,324,yes,yes,cellular,16,jul,830,1,-1,0,unknown,yes
33,blue-collar,married,primary,no,5151,yes,yes,cellular,20,nov,73,1,178,4,failure,no
29,services,married,secondary,no,489,yes,no,cellular,14,apr,332,3,-1,0,unknown,no
42,blue-collar,married,secondary,no,902,yes,no,unknown,14,may,71,1,-1,0,unknown,no
33,technician,married,tertiary,no,74,no,no,cellular,25,aug,116,4,-1,0,unknown,no
38,student,married,secondary,no,140,no,no,cellular,28,aug,12,21,-1,0,unknown,no
55,technician,married,secondary,no,3207,no,no,cellular,28,jan,158,2,153,12,failure,no
30,management,single,tertiary,no,67,no,no,cellular,12,aug,578,4,-1,0,unknown,no
34,blue-collar,married,secondary,no,559,yes,no,telephone,18,nov,47,1,193,1,other,no
33,admin.,married,secondary,no,393,yes,no,unknown,28,may,383,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,0,no,no,cellular,30,jul,684,2,-1,0,unknown,yes
62,management,married,tertiary,no,0,no,no,cellular,3,sep,299,1,-1,0,unknown,yes
54,blue-collar,married,primary,no,-864,yes,no,telephone,7,may,755,3,363,5,failure,no
45,unemployed,married,secondary,no,7203,no,no,cellular,30,apr,572,2,-1,0,unknown,no
38,technician,single,secondary,no,61,yes,no,cellular,13,may,109,1,359,8,failure,no
34,management,married,tertiary,no,273,yes,no,cellular,20,nov,308,1,188,1,success,no
31,technician,single,secondary,no,4028,no,yes,cellular,25,aug,139,5,-1,0,unknown,no
50,blue-collar,married,secondary,no,1329,yes,yes,telephone,4,jul,141,2,-1,0,unknown,no
33,housemaid,married,primary,no,1,yes,no,cellular,8,jul,135,1,-1,0,unknown,no
46,admin.,divorced,secondary,no,0,yes,no,cellular,2,feb,149,1,-1,0,unknown,no
34,technician,married,secondary,no,357,yes,no,cellular,28,jul,25,20,-1,0,unknown,no
